ID Móvil; BO;BFE;   BV1_1;   BV1_2;   BV1_3;   BV1_4;   BV2_1;   BV2_2;   BV3_1;   BV3_2;   BV3_3;   BV3_4;   BTE;NVR; Disco 1; Disco 2
K1411;CG7925562;CG6594510;CG4139684;CG4139552;CG6594643;CG6594588;CG4139819;CG6594668;CG6594487;CG6594523;CG6594614;CG4139694;CG4139558;CG9034386;30177267535;30177267425
K1412;CG7925646;CG6594545;CG6594554;CG4139828;CG6594563;CG4139547;CG6594570;CG4139834;CG6594507;CG6594525;CG4139638;CG6594556;CG6594561;CG9034368;30177267423;30177267397
K1413;CG7925550;CG6594640;CG6594488;CG6594562;CG6594597;CG6594628;CG6594508;CG4139564;CG6594537;CG6594490;CG6594651;CG6594603;CG6594502;CG9034376;30177267386;30177267384
K1414;CG7925634;CG6594586;CG6594581;CG6594491;CG6594553;CG6594503;CG6594608;CG6594540;CG6594477;CG4139733;CG6594578;CG6594480;CG6594496;CG9034176;30177267426;30177267427
K1415;CG7925568;CG4139566;CG6594639;CG6594479;CG6594541;CG6594474;CG6594604;CG6594531;CG6594602;CG6594612;CG6594564;CG6594511;CG6594667;CG9034194;30177267388;30177267387
K1416;CG7925739;CG6594485;CG4139563;CG4139665;CG6594568;CG6594514;CG4139814;CG6594521;CG6594513;CG4139697;CG6594632;CG4139820;CG6594533;CG9034364;30177267393;30177267394
K1418;CG7925639;CG6594481;CG6594574;CG6594493;CG6594494;CG6594559;CG65944998;CG4139554;CG4139650;CG6594497;CG6594627;CG6594515;CG6594601;CG9034288;30177267392;30177267391
K1419;CG7925653;CG6594577;CG6594622;CG4139832;CG4139653;CG6594486;CG4139822;CG6594536;CG6594538;CG6594495;CG6594611;CG6594517;CG4139573;CG9034358;30177267390;30177267389
K1420;CG7925791;CG6594642;CG6594584;CG6594555;CG6594539;CG4139830;CG6594501;CG6594557;CG6594505;CG4139555;CG4139553;CG6594542;CG4139824;CG4612120;30177267395;30177267396
